date,Basic,Basic+Matching,Basic+Matching+Contributions,Balance
12/30/1988,0,0,0,0.16
1/31/1989,6.73,6.73,6.73,6.89
2/28/1989,20.19,20.19,20.19,20.37
3/31/1989,33.65,33.65,33.65,33.92
4/30/1989,47.11,47.11,47.11,47.59
5/31/1989,60.57,60.57,60.57,61.76
6/30/1989,80.76,80.76,80.76,82.45
7/31/1989,94.22,94.22,94.22,96.52
8/31/1989,109.16,109.16,109.16,112.14
9/30/1989,124.1,124.1,124.1,127.89
10/31/1989,139.04,139.04,139.04,143.79
11/30/1989,161.45,161.45,161.45,167.2
12/31/1989,176.39,176.39,176.39,183.31
1/31/1990,191.33,191.33,191.33,199.55
2/28/1990,206.81,206.81,206.81,216.36
3/31/1990,222.29,222.29,222.29,233.46
4/30/1990,237.77,237.77,237.77,250.65
5/31/1990,260.99,260.99,260.99,275.86
6/30/1990,276.47,276.47,276.47,293.35
7/31/1990,291.95,291.95,291.95,310.99
8/31/1990,307.95,307.95,307.95,329.28
9/30/1990,326.89,326.89,326.89,350.68
10/31/1990,345.83,345.83,345.83,372.35
11/30/1990,374.24,374.24,374.24,403.48
12/31/1990,393.18,393.18,393.18,425.32
1/31/1991,412.12,412.12,412.12,447.24
2/28/1991,433.42,433.42,433.42,471.35
3/31/1991,454.72,454.72,454.72,495.94
4/30/1991,476.02,476.02,476.02,520.58
5/31/1991,507.97,507.97,507.97,556.15
6/30/1991,529.27,529.27,529.27,581.19
7/31/1991,550.57,550.57,550.57,606.56
8/31/1991,571.87,571.87,571.87,632.13
9/30/1991,595.75,595.75,595.75,660.12
10/31/1991,634.39,634.39,634.39,703
11/30/1991,660.15,660.15,660.15,733.11
12/31/1991,685.91,685.91,685.91,763.51
1/31/1992,711.67,711.67,711.67,793.7
2/29/1992,738.51,738.51,738.51,825.06
3/31/1992,765.35,765.35,765.35,857.07
4/30/1992,805.61,805.61,805.61,902.75
5/30/1992,832.45,832.45,832.45,935.42
6/30/1992,859.29,859.29,859.29,967.91
7/31/1992,886.13,886.13,886.13,1000.61
8/31/1992,912.97,912.97,912.97,1033.21
9/30/1992,940.26,940.26,940.26,1066.13
10/31/1992,981.87,981.87,981.87,1113.76
11/30/1992,1009.61,1009.61,1009.61,1147.84
12/31/1992,1037.35,1037.35,1037.35,1182.35
1/31/1993,1065.09,1065.09,1065.09,1216.98
